Date,Name,Year,Letterboxd URI,Rating
2019-04-11,The Man Who Killed Don Quixote,2018,https://boxd.it/9rkY,2
2019-04-11,The Kid,2019,https://boxd.it/hKpY,2
2019-04-14,Us,2019,https://boxd.it/gnV6,3.5
2019-04-14,If Beale Street Could Talk,2018,https://boxd.it/gGhu,4
2019-04-15,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2019-04-23,The Avengers,2012,https://boxd.it/1xFW,3.5
2019-04-24,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2019-04-26,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2019-04-29,The Simpsons Movie,2007,https://boxd.it/6YU,2.5
2019-04-30,Burning,2018,https://boxd.it/hHUa,4
2019-05-01,The Departed,2006,https://boxd.it/28MA,4.5
2019-05-11,The Matrix,1999,https://boxd.it/2a1m,4
2019-05-18,Burn After Reading,2008,https://boxd.it/23BW,3.5
2019-05-18,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/gmFw,4
2019-05-21,Barton Fink,1991,https://boxd.it/2aFQ,4.5
2019-05-22,The Rover,2014,https://boxd.it/4WCY,3.5
2019-05-22,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2.5
2019-05-26,Gone Girl,2014,https://boxd.it/6hQu,4
2019-06-07,Booksmart,2019,https://boxd.it/igNS,2.5
2019-06-07,This Is the End,2013,https://boxd.it/3GB4,2
2019-06-10,Rocketman,2019,https://boxd.it/iehK,3.5
2019-06-12,Aladdin,2019,https://boxd.it/eSjy,2
2019-06-14,The Dead Don't Die,2019,https://boxd.it/juZg,3.5
