Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-08-23,Paterson,2016,https://boxd.it/jvCBH,4.5,,"home, streaming",2017-08-22
2017-08-27,Good Time,2017,https://boxd.it/jB1zB,4.5,,"theatre, cobb",2017-08-26
2017-08-29,Into the Wild,2007,https://boxd.it/jEuT7,4.5,Yes,"home, streaming",2017-08-28
2017-08-30,GoodFellas,1990,https://boxd.it/jFxU5,5,,"home, streaming",2017-08-29
2017-09-01,Reservoir Dogs,1992,https://boxd.it/jJOoN,4,Yes,"home, streaming",2017-08-31
2017-09-04,Good Time,2017,https://boxd.it/jPfWR,4.5,Yes,"theatre, cobb",2017-09-03
2017-09-08,It,2017,https://boxd.it/jVaIR,2.5,,"theatre, cobb",2017-09-07
2017-09-09,The Hitman's Bodyguard,2017,https://boxd.it/jWHP9,2,,"theatre, cobb",2017-09-08
2017-09-11,Requiem for a Dream,2000,https://boxd.it/jZOw5,4.5,,"home, streaming",2017-09-10
2017-09-13,It,2017,https://boxd.it/k3deV,2.5,Yes,"theatre, cobb",2017-09-12
2017-09-14,Spider-Man: Homecoming,2017,https://boxd.it/k4aoP,3,Yes,"theatre, cobb",2017-09-13
2017-09-15,mother!,2017,https://boxd.it/k606v,4,,"theatre, cobb",2017-09-14
2017-09-21,Kingsman: The Secret Service,2014,https://boxd.it/keQex,3.5,Yes,"home, streaming",2017-09-20
2017-09-22,Kingsman: The Golden Circle,2017,https://boxd.it/kgrRX,2.5,,"theatre, cobb",2017-09-21
2017-09-25,The Big Lebowski,1998,https://boxd.it/klU5X,4.5,,"home, streaming",2017-09-24
2017-09-26,mother!,2017,https://boxd.it/knzVn,4,Yes,"theatre, cobb",2017-09-25
2017-09-28,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/kqbO9,3.5,Yes,"home, streaming",2017-09-27
2017-09-29,Wind River,2017,https://boxd.it/kriVN,3,,"theatre, cobb",2017-09-28
2017-10-01,Drive,2011,https://boxd.it/kuB4J,5,Yes,"home, streaming",2017-09-30
2017-10-02,Captain Underpants: The First Epic Movie,2017,https://boxd.it/kw5OJ,3,Yes,"home, blu-ray",2017-10-01
2017-10-04,It Follows,2014,https://boxd.it/kyOcz,4,,"home, streaming",2017-10-03
2017-10-05,Blade Runner,1982,https://boxd.it/kALnj,4.5,,"home, streaming",2017-10-04
2017-10-06,Blade Runner 2049,2017,https://boxd.it/kCEqp,4,,"theatre, cobb, imax",2017-10-05
2017-10-12,Battle of the Sexes,2017,https://boxd.it/kLYIV,3,,"theatre, cobb",2017-10-11
2017-10-15,Raw,2016,https://boxd.it/kRpC1,4,,"home, streaming",2017-10-15
2017-10-17,Saw,2004,https://boxd.it/kUiaP,2.5,,"home, streaming",2017-10-16
2017-10-19,Punch-Drunk Love,2002,https://boxd.it/kXeXf,4.5,,"home, blu-ray",2017-10-18
2017-10-22,The Foreigner,2017,https://boxd.it/l1XJZ,3,,"theatre, cobb",2017-10-21
2017-10-22,Captain Fantastic,2016,https://boxd.it/l2dL3,4.5,,"home, streaming",2017-10-22
2017-11-03,Thor: Ragnarok,2017,https://boxd.it/lkGgz,3,,"theatre, cobb, imax",2017-11-02
2017-11-10,Murder on the Orient Express,2017,https://boxd.it/lvDvN,3,,"theatre, cobb",2017-11-09
2017-11-13,La La Land,2016,https://boxd.it/lArtF,5,Yes,other,2017-11-12
2017-11-17,Justice League,2017,https://boxd.it/lGkbV,2,,"theatre, cobb",2017-11-16
2017-11-19,Monty Python and the Holy Grail,1975,https://boxd.it/lJVAJ,4,,"home, streaming",2017-11-18
2017-11-23,Thor: Ragnarok,2017,https://boxd.it/lPGuj,3,Yes,"theatre, cobb",2017-11-21
2017-11-23,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/lQjux,4,,"theatre, cobb",2017-11-22
2017-11-24,How the Grinch Stole Christmas,2000,https://boxd.it/lRiTj,2.5,Yes,"home, streaming",2017-11-23
2017-11-24,Lady Bird,2017,https://boxd.it/lS0S5,4.5,,"theatre, cobb",2017-11-23
2017-11-26,Memento,2000,https://boxd.it/lVyPv,5,Yes,"home, blu-ray",2017-11-25
2017-12-02,How the Grinch Stole Christmas,2000,https://boxd.it/m66Ap,2.5,Yes,"streaming, other",2017-12-01
2018-01-08,Enemy,2013,https://boxd.it/nnvWN,4,Yes,"home, blu-ray",2017-12-02
2018-01-14,Locke,2013,https://boxd.it/nBBMx,3.5,,"home, streaming",2017-12-03
2017-12-06,The Florida Project,2017,https://boxd.it/mdog7,4,,"theatre, polk",2017-12-05
2017-12-08,Lady Bird,2017,https://boxd.it/mgtfJ,4.5,Yes,"theatre, cobb",2017-12-07
2017-12-10,2001: A Space Odyssey,1968,https://boxd.it/mkc0l,5,,"home, blu-ray",2017-12-09
2017-12-11,Star Wars,1977,https://boxd.it/mm7vd,4.5,Yes,"home, streaming",2017-12-10
2017-12-12,The Empire Strikes Back,1980,https://boxd.it/mor25,5,Yes,"home, streaming",2017-12-11
2017-12-13,Return of the Jedi,1983,https://boxd.it/mpWO7,3.5,Yes,"home, streaming",2017-12-12
2017-12-14,Star Wars: The Force Awakens,2015,https://boxd.it/mrzOn,3.5,Yes,"home, streaming",2017-12-13
2017-12-15,Star Wars: The Last Jedi,2017,https://boxd.it/mteMf,3,,"theatre, cobb, imax",2017-12-14
2017-12-17,Her,2013,https://boxd.it/mw0ez,5,,"home, blu-ray",2017-12-16
2017-12-30,A Glimpse Inside the Mind of Charles Swan III,2012,https://boxd.it/mXg0n,1.5,,"home, streaming",2017-12-17
2017-12-19,Nacho Libre,2006,https://boxd.it/mASE5,3,Yes,"home, streaming",2017-12-18
2017-12-20,Whiplash,2014,https://boxd.it/mDcqr,5,Yes,"home, blu-ray",2017-12-19
2017-12-21,Whiplash,2013,https://boxd.it/mEygl,,,,2017-12-20
2017-12-22,Tangerine,2015,https://boxd.it/mGlpt,3.5,,"other, streaming",2017-12-21
2017-12-22,Monty Python and the Holy Grail,1975,https://boxd.it/mGIdF,4,Yes,"home, blu-ray",2017-12-21
2017-12-24,The Shape of Water,2017,https://boxd.it/mK6vz,4,,"theatre, cobb",2017-12-23
2018-01-08,Under the Skin,2013,https://boxd.it/nomep,3.5,,"home, blu-ray",2017-12-25
2017-12-30,Ginger & Rosa,2012,https://boxd.it/mXgx7,2.5,,"home, streaming",2017-12-26
2017-12-30,Spring Breakers,2012,https://boxd.it/mXiaJ,3.5,,"home, streaming",2017-12-27
2017-12-29,Taxi Driver,1976,https://boxd.it/mWnPF,4.5,,"home, blu-ray",2017-12-28
2017-12-29,Frank,2014,https://boxd.it/mWy3x,4,,"home, streaming",2017-12-29
2017-12-30,Frank,2014,https://boxd.it/mY5Tj,4,Yes,"home, streaming",2017-12-29
2018-01-01,Bo Burnham: Make Happy,2016,https://boxd.it/n3N03,,,,2017-12-29
2018-01-09,Black Mirror: USS Callister,2017,https://boxd.it/nrPYH,,,,2017-12-29
2018-01-02,The Greatest Showman,2017,https://boxd.it/n7VMd,2,,"theatre, cobb",2018-01-01
2018-01-03,Star Wars: The Last Jedi,2017,https://boxd.it/naP7T,3,Yes,"theatre, cobb",2018-01-02
2018-01-04,The Bling Ring,2013,https://boxd.it/ncMJp,2,,"home, streaming",2018-01-03
2018-01-05,Pee-wee's Big Adventure,1985,https://boxd.it/ng2Vd,3.5,Yes,"home, streaming",2018-01-04
2018-01-06,Star Wars: The Last Jedi,2017,https://boxd.it/nijW7,3,Yes,"theatre, cobb",2018-01-05
2018-01-07,The Spectacular Now,2013,https://boxd.it/nkzLX,3,,"home, streaming",2018-01-06
2018-01-11,The Disaster Artist,2017,https://boxd.it/nwg0R,3,,"theatre, polk",2018-01-10
2018-01-15,Obvious Child,2014,https://boxd.it/nGm7J,3,,"home, streaming",2018-01-12
2018-01-15,The Rover,2014,https://boxd.it/nGN8J,3.5,,"home, streaming",2018-01-14
