"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"The Strange Thing About the Johnsons",2011,NA,"","2018-06-15",3.32,28,"comedy","Ari Aster","Billy Mayo","Ari Aster","Brady Hallongren","Pawel Pogorzelski","Brendan Eder","Alejandro de Leon","American Film Institute Conservatory","USA","English"
"Coraline",2009,4,"streaming","2018-06-23",4.07,100,"family","Henry Selick","Dakota Fanning","Neil Gaiman","Ronald Sanders","Pete Kozachik","Bruno Coulais","Harry Linden","Focus Features","USA","English"
"Jurassic World: Fallen Kingdom",2018,2,"theatre","2018-06-26",2.62,129,"action","J. A. Bayona","Chris Pratt","Colin Trevorrow","Bernat Vilaplana","Óscar Faura","Michael Giacchino","Steven Spielberg","Amblin Entertainment","USA","English"
"Sicario",2015,4,"streaming","2018-06-28",3.9,122,"crime","Denis Villeneuve","Emily Blunt","Taylor Sheridan","Joe Walker","Roger Deakins","Jóhann Jóhannsson","Edward McDonnell","Thunder Road","Mexico","English"
"Eyes Wide Shut",1999,4.5,"streaming","2018-06-29",3.95,159,"thriller","Stanley Kubrick","Tom Cruise","Stanley Kubrick","Nigel Galt","Larry Smith","Jocelyn Pook","Stanley Kubrick","Stanley Kubrick Productions","UK","English"
"Sicario: Day of the Soldado",2018,2.5,"theatre","2018-06-30",3.18,122,"crime","Stefano Sollima","Benicio del Toro","Taylor Sheridan","Matthew Newman","Dariusz Wolski","Hildur Guðnadóttir","Edward McDonnell","Thunder Road","USA","English"
"Heaven Knows What",2014,3.5,"streaming","2018-07-02",3.63,97,"drama","Josh Safdie","Arielle Holmes","Josh Safdie","Benny Safdie","Sean Price Williams","Paul Grimstad","Charles-Marie Anthonioz","Elara Pictures","France","English"
"Last Flag Flying",2017,3.5,"streaming","2018-07-03",3.38,125,"comedy","Richard Linklater","Steve Carell","Richard Linklater","Sandra Adair","Shane F. Kelly","Graham Reynolds","John Sloss","Cinetic Media","USA","English"
"Ant-Man",2015,3.5,"streaming","2018-07-04",3.34,117,"adventure","Peyton Reed","Paul Rudd","Paul Rudd","Dan Lebental","Russell Carpenter","Christophe Beck","Stan Lee","Marvel Studios","USA","English"
"Ant-Man and the Wasp",2018,2.5,"theatre","2018-07-05",3.15,119,"science-fiction","Peyton Reed","Paul Rudd","Paul Rudd","Craig Wood","Dante Spinotti","Christophe Beck","Stan Lee","Marvel Studios","USA","English"
"Bruce Almighty",2003,3,"","2018-07-06",3.1,101,"comedy","Tom Shadyac","Jim Carrey","Steve Oedekerk","Scott Hill","Dean Semler","John Debney","Jim Carrey","Pit Bull Productions","USA","English"
"Eternal Sunshine of the Spotless Mind",2004,5,"theatre","2018-07-08",4.21,108,"drama","Michel Gondry","Jim Carrey","Michel Gondry","Valdís Óskarsdóttir","Ellen Kuras","Jon Brion","Charlie Kaufman","Focus Features","USA","English"
"Yellow Submarine",1968,2.5,"theatre","2018-07-09",3.74,90,"animation","George Dunning","Paul Angelis","Erich Segal","Brian J. Bishop","John Williams","Paul McCartney","Al Brodax","Apple Corps","UK","English"
"The Rider",2017,3.5,"theatre","2018-07-10",3.91,103,"western","Chloé Zhao","Brady Jandreau","Chloé Zhao","Alex O'Flinn","Joshua James Richards","Nathan Halpern","Bert Hamelinck","Highwayman Films","USA","English"
"Mission: Impossible",1996,3,"streaming","2018-07-12",3.53,110,"adventure","Brian De Palma","Tom Cruise","David Koepp","Paul Hirsch","Stephen H. Burum","Danny Elfman","Tom Cruise","Paramount","USA","English"
"Sorry to Bother You",2018,3.5,"theatre","2018-07-13",3.75,112,"comedy","Boots Riley","Lakeith Stanfield","Boots Riley","Terel Gibson","Doug Emmett","Boots Riley","Forest Whitaker","Cinereach","USA","English"
"Mission: Impossible II",2000,2.5,"streaming","2018-07-14",2.63,123,"thriller","John Woo","Tom Cruise","Ronald D. Moore","Christian Wagner","Jeffrey L. Kimball","Hans Zimmer","Tom Cruise","Paramount","Australia","English"
"Barry Lyndon",1975,4.5,"theatre","2018-07-15",4.29,185,"romance","Stanley Kubrick","Ryan O'Neal","Stanley Kubrick","Tony Lawson","John Alcott","Leonard Rosenman","Stanley Kubrick","Hawk Films","UK","English"
"Paddington 2",2017,4,"blu-ray","2018-07-16",4.17,104,"comedy","Paul King","Ben Whishaw","Paul King","Jonathan Amos","Erik Wilson","Dario Marianelli","David Heyman","Heyday Films","France","English"
"Damsel",2018,3,"theatre","2018-07-17",2.95,114,"western","Nathan Zellner","Robert Pattinson","Nathan Zellner","Melba Robichaux","Adam Stone",NA,"Jim Reeve","Strophic Productions Limited","USA","English"
"Mission: Impossible III",2006,3.5,"streaming","2018-07-19",3.31,126,"action","J.J. Abrams","Tom Cruise","Bruce Geller","Maryann Brandon","Dan Mindel","Michael Giacchino","Tom Cruise","Paramount","China","English"
"Prisoners",2013,4,"streaming","2018-07-20",4.17,153,"drama","Denis Villeneuve","Hugh Jackman","Aaron Guzikowski","Joel Cox","Roger Deakins","Jóhann Jóhannsson","Edward McDonnell","Madhouse Entertainment","USA","English"
"Lars and the Real Girl",2007,3.5,"streaming","2018-07-21",3.68,106,"drama","Craig Gillespie","Ryan Gosling","Nancy Oliver","Tatiana S. Riegel","Adam Kimmel","David Torn","John Cameron","Sidney Kimmel Entertainment","USA","English"
