"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"Dunkirk",2017,4,"theatre","2017-07-20",3.82,107,"war","Christopher Nolan","Fionn Whitehead","Christopher Nolan","Lee Smith","Hoyte van Hoytema","Hans Zimmer","Christopher Nolan","Warner Bros. Pictures","France","English"
"The Prestige",2006,4.5,"streaming","2017-07-21",4.12,130,"drama","Christopher Nolan","Christian Bale","Christopher Nolan","Lee Smith","Wally Pfister","David Julyan","Christopher Nolan","Touchstone Pictures","UK","English"
"The Room",2003,0.5,"streaming","2017-07-23",2.58,99,"drama","Tommy Wiseau","Tommy Wiseau","Tommy Wiseau","Eric Chase","Todd Barron","Mladen Milicevic","Tommy Wiseau","Chloe Productions","USA","English"
"Baby Driver",2017,4,"theatre","2017-07-23",3.79,113,"crime","Edgar Wright","Ansel Elgort","Edgar Wright","Jonathan Amos","Bill Pope","Steven Price","Tim Bevan","Big Talk Productions","UK","English"
"Dope",2015,4,"streaming","2017-07-26",3.52,103,"crime","Rick Famuyiwa","Shameik Moore","Rick Famuyiwa",NA,"Rachel Morrison","Germaine Franco",NA,"Revolt Films","USA","English"
"Dunkirk",2017,4,"theatre","2017-07-26",3.82,107,"war","Christopher Nolan","Fionn Whitehead","Christopher Nolan","Lee Smith","Hoyte van Hoytema","Hans Zimmer","Christopher Nolan","Warner Bros. Pictures","France","English"
"Baby Driver",2017,4,"theatre","2017-08-03",3.79,113,"crime","Edgar Wright","Ansel Elgort","Edgar Wright","Jonathan Amos","Bill Pope","Steven Price","Tim Bevan","Big Talk Productions","UK","English"
"Baby Driver",2017,4,"theatre","2017-08-03",3.79,113,"crime","Edgar Wright","Ansel Elgort","Edgar Wright","Jonathan Amos","Bill Pope","Steven Price","Tim Bevan","Big Talk Productions","UK","English"
"Bronson",2008,4,"streaming","2017-08-09",3.61,92,"crime","Nicolas Winding Refn","Tom Hardy","Nicolas Winding Refn","Matthew Newman","Larry Smith",NA,"Thor Sigurjonsson","Vertigo Films","UK","English"
"Moana",2016,3.5,"","2017-08-17",3.77,107,"comedy","Ron Clements","Auli'i Cravalho","Ron Clements","Jeff Draheim",NA,"Mark Mancina","John Lasseter","Walt Disney Pictures","USA","English"
"A Ghost Story",2017,4.5,"theatre","2017-08-19",3.75,93,"drama","David Lowery","Casey Affleck","David Lowery","David Lowery","Andrew Droz Palermo","Daniel Hart","Adam Donaghey","Sailor Bear","USA","English"
"The Hateful Eight",2015,4,"streaming","2017-08-20",3.84,188,"drama","Quentin Tarantino","Samuel L. Jackson","Quentin Tarantino","Fred Raskin","Robert Richardson","Ennio Morricone","Bob Weinstein","The Weinstein Company","USA","English"
"Logan Lucky",2017,3,"theatre","2017-08-20",3.53,118,"drama","Steven Soderbergh","Channing Tatum","Rebecca Blunt","Steven Soderbergh","Steven Soderbergh","David Holmes","Mark Johnson","Free Association","USA","English"
"Paterson",2016,4.5,"streaming","2017-08-22",3.87,118,"drama","Jim Jarmusch","Adam Driver","Jim Jarmusch","Affonso Gonçalves","Frederick Elmes","Jim Jarmusch","Ronald M. Bozman","Inkjet Productions","France","English"
"Good Time",2017,4.5,"theatre","2017-08-26",3.98,102,"crime","Josh Safdie","Robert Pattinson","Josh Safdie","Benny Safdie","Sean Price Williams","Daniel Lopatin","Terry Dougas","Elara Pictures","USA","English"
"Into the Wild",2007,4.5,"streaming","2017-08-28",3.76,148,"adventure","Sean Penn","Emile Hirsch","Sean Penn","Jay Cassidy","Eric Gautier","Michael Brook","Art Linson","River Road Entertainment","USA","English"
"GoodFellas",1990,5,"streaming","2017-08-29",4.42,145,"drama","Martin Scorsese","Ray Liotta","Martin Scorsese","Thelma Schoonmaker","Michael Ballhaus",NA,"Barbara De Fina","Winkler Films","USA","English"
"Reservoir Dogs",1992,4,"streaming","2017-08-31",4.12,99,"crime","Quentin Tarantino","Harvey Keitel","Quentin Tarantino","Sally Menke","Andrzej Sekula",NA,"Lawrence Bender","Live Entertainment","USA","English"
"Good Time",2017,4.5,"theatre","2017-09-03",3.98,102,"crime","Josh Safdie","Robert Pattinson","Josh Safdie","Benny Safdie","Sean Price Williams","Daniel Lopatin","Terry Dougas","Elara Pictures","USA","English"
"It",2017,2.5,"theatre","2017-09-07",3.52,135,"horror","Andy Muschietti","Jaeden Martell","Stephen King","Jason Ballantine","Jeong Jeong-hun","Benjamin Wallfisch","Marty P. Ewing","RatPac Entertainment","USA","English"
"The Hitman's Bodyguard",2017,2,"theatre","2017-09-08",3.04,118,"thriller","Patrick Hughes","Ryan Reynolds","Tom O'Connor","Jake Roberts","Jules O'Loughlin","Atli Örvarsson","Les Weldon","Campbell Grobman Films","Bulgaria","English"
"Requiem for a Dream",2000,4.5,"streaming","2017-09-10",4.06,102,"crime","Darren Aronofsky","Ellen Burstyn","Darren Aronofsky","Jay Rabinowitz","Matthew Libatique","Clint Mansell","Eric Watson","Artisan Entertainment","USA","English"
"It",2017,2.5,"theatre","2017-09-12",3.52,135,"horror","Andy Muschietti","Jaeden Martell","Stephen King","Jason Ballantine","Jeong Jeong-hun","Benjamin Wallfisch","Marty P. Ewing","RatPac Entertainment","USA","English"
"Spider-Man: Homecoming",2017,3,"theatre","2017-09-13",3.63,133,"science-fiction","Jon Watts","Tom Holland","John Francis Daley","Dan Lebental","Salvatore Totino","Michael Giacchino","Stan Lee","Marvel Studios","USA","English"
"mother!",2017,4,"theatre","2017-09-14",3.48,121,"horror","Darren Aronofsky","Jennifer Lawrence","Darren Aronofsky","Andrew Weisblum","Matthew Libatique","Jóhann Jóhannsson","Darren Aronofsky","Protozoa Pictures","USA","English"
"Kingsman: The Secret Service",2014,3.5,"streaming","2017-09-20",3.69,129,"action","Matthew Vaughn","Taron Egerton","Matthew Vaughn","Jon Harris","George Richmond","Henry Jackman","Matthew Vaughn","20th Century Fox","UK","English"
"Kingsman: The Golden Circle",2017,2.5,"theatre","2017-09-21",3.07,141,"crime","Matthew Vaughn","Colin Firth","Matthew Vaughn","Eddie Hamilton","George Richmond","Henry Jackman","Matthew Vaughn","20th Century Fox","UK","English"
"The Big Lebowski",1998,4.5,"streaming","2017-09-24",4.12,117,"comedy","Joel Coen","Jeff Bridges","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Ethan Coen","Gramercy Pictures","UK","English"
"mother!",2017,4,"theatre","2017-09-25",3.48,121,"horror","Darren Aronofsky","Jennifer Lawrence","Darren Aronofsky","Andrew Weisblum","Matthew Libatique","Jóhann Jóhannsson","Darren Aronofsky","Protozoa Pictures","USA","English"
"Sweeney Todd: The Demon Barber of Fleet Street",2007,3.5,"streaming","2017-09-27",3.44,116,"horror","Tim Burton","Johnny Depp","John Logan","Chris Lebenzon","Dariusz Wolski","Stephen Sondheim","John Logan","Tim Burton Productions","UK","English"
"Wind River",2017,3,"theatre","2017-09-28",3.78,107,"drama","Taylor Sheridan","Jeremy Renner","Taylor Sheridan","Gary D. Roach","Ben Richardson","Nick Cave","Bob Weinstein","Savvy Media Holdings","USA","English"
"Drive",2011,5,"streaming","2017-09-30",3.97,100,"thriller","Nicolas Winding Refn","Ryan Gosling","Hossein Amini","Matthew Newman","Newton Thomas Sigel","Cliff Martinez","Jeffrey Stott","FilmDistrict","USA","English"
"Captain Underpants: The First Epic Movie",2017,3,"blu-ray","2017-10-01",3.06,89,"action","David Soren","Kevin Hart","Nicholas Stoller","Matt Landon","Damon O'Beirne","Theodore Shapiro","Mireille Soria","DreamWorks Animation","USA","English"
"It Follows",2014,4,"streaming","2017-10-03",3.57,101,"horror","David Robert Mitchell","Maika Monroe","David Robert Mitchell","Julio Perez IV","Mike Gioulakis","Rich Vreeland","Joshua Astrachan","Two Flints","USA","English"
"Blade Runner",1982,4.5,"streaming","2017-10-04",4.1,117,"drama","Ridley Scott","Harrison Ford","Philip K. Dick","Marsha Nakashima","Jordan Cronenweth","Vangelis","Michael Deeley","Shaw Brothers","USA","English"
"Blade Runner 2049",2017,4,"theatre","2017-10-05",4.09,164,"science-fiction","Denis Villeneuve","Ryan Gosling","Hampton Fancher","Joe Walker","Roger Deakins","Hans Zimmer","Ridley Scott","Torridon Films","Canada","English"
"Battle of the Sexes",2017,3,"theatre","2017-10-11",3.3,121,"history","Jonathan Dayton","Emma Stone","Simon Beaufoy","Pamela Martin","Linus Sandgren","Nicholas Britell","Danny Boyle","Fox Searchlight Pictures","USA","English"
"Raw",2016,4,"streaming","2017-10-15",3.69,99,"drama","Julia Ducournau","Garance Marillier","Julia Ducournau","Jean-Christophe Bouzy","Ruben Impens","Jim Williams","Julie Gayet","Ciclic - Région Centre","Belgium","French"
"Saw",2004,2.5,"streaming","2017-10-16",3.54,103,"horror","James Wan","Cary Elwes","James Wan","Kevin Greutert","David A. Armstrong","Charlie Clouser","Mark Burg","Twisted Pictures","USA","English"
"Punch-Drunk Love",2002,4.5,"blu-ray","2017-10-18",3.96,96,"drama","Paul Thomas Anderson","Adam Sandler","Paul Thomas Anderson","Leslie Jones","Robert Elswit","Jon Brion","Paul Thomas Anderson","Columbia Pictures","USA","English"
"The Foreigner",2017,3,"theatre","2017-10-21",3.14,113,"action","Martin Campbell","Pierce Brosnan","David Marconi","Angela M. Catanzaro","David Tattersall","Cliff Martinez","Cathy Schulman","Sparkle Roll Media","UK","English"
"Captain Fantastic",2016,4.5,"streaming","2017-10-22",3.88,118,"drama","Matt Ross","Viggo Mortensen","Matt Ross","Joseph Krings","Stéphane Fontaine","Alex Somers","Monica Levinson","Electric City Entertainment","USA","English"
"Thor: Ragnarok",2017,3,"theatre","2017-11-02",3.87,131,"adventure","Taika Waititi","Chris Hemsworth","Craig Kyle","Zene Baker","Javier Aguirresarobe","Mark Mothersbaugh","Stan Lee","Marvel Studios","USA","English"
"Murder on the Orient Express",2017,3,"theatre","2017-11-09",3,114,"Genre Films","Kenneth Branagh","Kenneth Branagh","Agatha Christie","Mick Audsley","Haris Zambarloukos","Patrick Doyle","Ridley Scott","The Mark Gordon Company","UK","English"
"La La Land",2016,5,"","2017-11-12",3.93,129,"music","Damien Chazelle","Ryan Gosling","Damien Chazelle","Tom Cross","Linus Sandgren","Justin Hurwitz","Gary Gilbert","Summit Entertainment","USA","English"
"Justice League",2017,2,"theatre","2017-11-16",2.13,120,"science-fiction","Zack Snyder","Ben Affleck","Joss Whedon","David Brenner","Fabian Wagner","Danny Elfman","Charles Roven","DC Comics","UK","English"
"Monty Python and the Holy Grail",1975,4,"streaming","2017-11-18",4.09,91,"adventure","Terry Gilliam","Graham Chapman","Terry Gilliam","John Hackney","Terry Bedford",NA,"John Goldstone","Python (Monty) Pictures Limited","UK","English"
"Thor: Ragnarok",2017,3,"theatre","2017-11-21",3.87,131,"adventure","Taika Waititi","Chris Hemsworth","Craig Kyle","Zene Baker","Javier Aguirresarobe","Mark Mothersbaugh","Stan Lee","Marvel Studios","USA","English"
"Three Billboards Outside Ebbing, Missouri",2017,4,"theatre","2017-11-22",3.98,115,"drama","Martin McDonagh","Frances McDormand","Martin McDonagh","Jon Gregory","Ben Davis","Carter Burwell","Graham Broadbent","Blueprint Pictures","UK","English"
"How the Grinch Stole Christmas",2000,2.5,"streaming","2017-11-23",3.19,104,"fantasy","Ron Howard","Jim Carrey","Jeffrey Price","Daniel P. Hanley","Donald Peterman","James Horner","Brian Grazer","Universal Pictures","Germany","English"
"Lady Bird",2017,4.5,"theatre","2017-11-23",3.91,94,"drama","Greta Gerwig","Saoirse Ronan","Greta Gerwig","Nick Houy","Sam Levy","Jon Brion","Scott Rudin","IAC Films","USA","English"
"Memento",2000,5,"blu-ray","2017-11-25",4.12,113,"thriller","Christopher Nolan","Guy Pearce","Christopher Nolan","Dody Dorn","Wally Pfister","David Julyan","Jennifer Todd","Summit Entertainment","USA","English"
"How the Grinch Stole Christmas",2000,2.5,"streaming","2017-12-01",3.19,104,"fantasy","Ron Howard","Jim Carrey","Jeffrey Price","Daniel P. Hanley","Donald Peterman","James Horner","Brian Grazer","Universal Pictures","Germany","English"
"Enemy",2013,4,"blu-ray","2017-12-02",3.68,91,"thriller","Denis Villeneuve","Jake Gyllenhaal","José Saramago","Matthew Hannam","Nicolas Bolduc","Saunder Jurriaans","Niv Fichman","Rhombus Media","Canada","English"
"Locke",2013,3.5,"streaming","2017-12-03",3.56,85,"drama","Steven Knight","Tom Hardy","Steven Knight","Justine Wright","Haris Zambarloukos","Dickon Hinchliffe","Paul Webster","IM Global","UK","English"
"The Florida Project",2017,4,"theatre","2017-12-05",4.1,112,"drama","Sean Baker","Willem Dafoe","Sean Baker","Sean Baker","Alexis Zabe","Lorne Balfe","Sean Baker","Cre Film","USA","English"
"Lady Bird",2017,4.5,"theatre","2017-12-07",3.91,94,"drama","Greta Gerwig","Saoirse Ronan","Greta Gerwig","Nick Houy","Sam Levy","Jon Brion","Scott Rudin","IAC Films","USA","English"
"2001: A Space Odyssey",1968,5,"blu-ray","2017-12-09",4.32,149,"science-fiction","Stanley Kubrick","Keir Dullea","Stanley Kubrick","Ray Lovejoy","Geoffrey Unsworth",NA,"Stanley Kubrick","Stanley Kubrick Productions","UK","English"
"Star Wars",1977,4.5,"streaming","2017-12-10",4.22,121,"adventure","George Lucas","Mark Hamill","George Lucas","Marcia Lucas","Gilbert Taylor","John Williams","George Lucas","Lucasfilm Ltd.","USA","English"
"The Empire Strikes Back",1980,5,"streaming","2017-12-11",4.4,124,"science-fiction","Irvin Kershner","Mark Hamill","George Lucas","Paul Hirsch","Peter Suschitzky","John Williams","George Lucas","Lucasfilm Ltd.","USA","English"
"Return of the Jedi",1983,3.5,"streaming","2017-12-12",4,135,"science-fiction","Richard Marquand","Mark Hamill","George Lucas","Marcia Lucas","Alan Hume","John Williams","George Lucas","Lucasfilm Ltd.","USA","English"
"Star Wars: The Force Awakens",2015,3.5,"streaming","2017-12-13",3.51,136,"science-fiction","J.J. Abrams","Harrison Ford","Lawrence Kasdan","Maryann Brandon","Dan Mindel","John Williams","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"Star Wars: The Last Jedi",2017,3,"theatre","2017-12-14",3.21,152,"science-fiction","Rian Johnson","Mark Hamill","Rian Johnson","Bob Ducsay","Steve Yedlin","John Williams","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"Her",2013,5,"blu-ray","2017-12-16",4.06,126,"romance","Spike Jonze","Joaquin Phoenix","Spike Jonze","Jeff Buchanan","Hoyte van Hoytema","Owen Pallett","Daniel Lupi","Annapurna Pictures","USA","English"
"A Glimpse Inside the Mind of Charles Swan III",2012,1.5,"streaming","2017-12-17",1.97,86,"comedy","Roman Coppola","Charlie Sheen","Roman Coppola","Robert Schafer","Nick Beal","Roger Neill","Roman Coppola","American Zoetrope","USA","English"
"Nacho Libre",2006,3,"streaming","2017-12-18",3.05,92,"comedy","Jared Hess","Jack Black","Mike White","Billy Weber","Xavier Grobet","Danny Elfman","Jack Black","Paramount","USA","English"
"Whiplash",2014,5,"blu-ray","2017-12-19",4.35,107,"drama","Damien Chazelle","Miles Teller","Damien Chazelle","Tom Cross","Sharone Meir","Justin Hurwitz","Jeffrey Stott","Bold Films","USA","English"
"Whiplash",2013,NA,"","2017-12-20",3.86,18,"music","Damien Chazelle","Johnny Simmons","Damien Chazelle","Tom Cross","Edd Lukas",NA,"Jason Reitman","Whiplash Productions, LLC.","USA","English"
"Tangerine",2015,3.5,"streaming","2017-12-21",3.79,87,"comedy","Sean Baker","Kitana Kiki Rodriguez","Sean Baker","Sean Baker","Sean Baker",NA,"Jay Duplass","Through Films","USA","English"
"Monty Python and the Holy Grail",1975,4,"blu-ray","2017-12-21",4.09,91,"adventure","Terry Gilliam","Graham Chapman","Terry Gilliam","John Hackney","Terry Bedford",NA,"John Goldstone","Python (Monty) Pictures Limited","UK","English"
"The Shape of Water",2017,4,"theatre","2017-12-23",3.7,123,"drama","Guillermo del Toro","Sally Hawkins","Guillermo del Toro","Sidney Wolinsky","Dan Laustsen","Alexandre Desplat","Guillermo del Toro","Double Dare You Productions","USA","English"
"Under the Skin",2013,3.5,"blu-ray","2017-12-25",3.66,108,"drama","Jonathan Glazer","Scarlett Johansson","Jonathan Glazer","Paul Watts","Daniel Landin","Mica Levi","Tessa Ross","Scottish Screen","Switzerland","English"
"Ginger & Rosa",2012,2.5,"streaming","2017-12-26",3.09,89,"drama","Sally Potter","Elle Fanning","Sally Potter","Anders Refn","Robbie Ryan",NA,"Heidi Levitt","BFI","Canada","English"
"Spring Breakers",2012,3.5,"streaming","2017-12-27",2.83,94,"crime","Harmony Korine","James Franco","Harmony Korine","Douglas Crise","Benoît Debie","Cliff Martinez","Ted Field","Iconoclast","France","English"
"Taxi Driver",1976,4.5,"blu-ray","2017-12-28",4.24,114,"drama","Martin Scorsese","Robert De Niro","Paul Schrader","Tom Rolf","Michael Chapman","Bernard Herrmann","Julia Phillips","Italo/Judeo Productions","USA","English"
"Frank",2014,4,"streaming","2017-12-29",3.52,95,"comedy","Lenny Abrahamson","Domhnall Gleeson","Jon Ronson","Nathan Nugent","James Mather","Stephen Rennicks","Tessa Ross","Runaway Fridge Productions","Ireland","English"
"Frank",2014,4,"streaming","2017-12-29",3.52,95,"comedy","Lenny Abrahamson","Domhnall Gleeson","Jon Ronson","Nathan Nugent","James Mather","Stephen Rennicks","Tessa Ross","Runaway Fridge Productions","Ireland","English"
"Bo Burnham: Make Happy",2016,NA,"","2017-12-29",4.21,60,"comedy","Bo Burnham","Bo Burnham","Bo Burnham","Chris Amos","Andrew Wehde","Bo Burnham","Kristen Zolner","Attic Bedroom","USA","English"
"Black Mirror: USS Callister",2017,NA,"","2017-12-29",3.73,76,"thriller","Toby Haynes","Jesse Plemons","Charlie Brooker","Selina Macarthur","Stephan Pehrsson","Daniel Pemberton",NA,"Netflix","UK","English"
"The Greatest Showman",2017,2,"theatre","2018-01-01",3.32,105,"drama","Michael Gracey","Hugh Jackman","Bill Condon","Michael McCusker","Seamus McGarvey","John Debney","James Mangold","Chernin Entertainment","USA","English"
"Star Wars: The Last Jedi",2017,3,"theatre","2018-01-02",3.21,152,"science-fiction","Rian Johnson","Mark Hamill","Rian Johnson","Bob Ducsay","Steve Yedlin","John Williams","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"The Bling Ring",2013,2,"streaming","2018-01-03",2.82,90,"crime","Sofia Coppola","Katie Chang","Sofia Coppola","Sarah Flack","Harris Savides","Brian Reitzell","Francis Ford Coppola","Pathé Distribution","France","English"
"Pee-wee's Big Adventure",1985,3.5,"streaming","2018-01-04",3.64,91,"comedy","Tim Burton","Paul Reubens","Paul Reubens","Billy Weber","Victor J. Kemper","Danny Elfman","William E. McEuen","Aspen Film Society","USA","English"
"Star Wars: The Last Jedi",2017,3,"theatre","2018-01-05",3.21,152,"science-fiction","Rian Johnson","Mark Hamill","Rian Johnson","Bob Ducsay","Steve Yedlin","John Williams","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"The Spectacular Now",2013,3,"streaming","2018-01-06",3.28,95,"comedy","James Ponsoldt","Miles Teller","Scott Neustadter","Darrin Navarro","Jess Hall","Rob Simonsen","Shawn Levy","Global Produce","USA","English"
"The Disaster Artist",2017,3,"theatre","2018-01-10",3.56,104,"comedy","James Franco","James Franco","Scott Neustadter","Stacey Schroeder","Brandon Trost","Dave Porter","James Franco","New Line Cinema","USA","English"
"Obvious Child",2014,3,"streaming","2018-01-12",3.53,83,"comedy","Gillian Robespierre","Jenny Slate","Gillian Robespierre","Casey Brooks","Chris Teague","Chris Bordeaux","Jenny Slate","Sundial Pictures","USA","English"
"The Rover",2014,3.5,"streaming","2018-01-14",3.39,103,"crime","David Michôd","Guy Pearce","Joel Edgerton","Peter Sciberras","Natasha Braier","Anthony Partos","David Linde","Porchlight Films","Australia","English"
"Life After Beth",2014,2,"streaming","2018-01-17",2.82,90,"comedy","Jeff Baena","Aubrey Plaza","Jeff Baena","Colin Patton","Jay Hunter",NA,"Michael Zakin","Abbolita Productions","USA","English"
"Fat Girl",2001,4,"streaming","2018-01-18",3.54,86,"drama","Catherine Breillat","Anaïs Reboux","Catherine Breillat","Pascale Chavance","Giorgos Arvanitis",NA,"Jean-François Lepetit","Urania Pictures S.r.l.","France","French"
"Phantom Thread",2017,4,"theatre","2018-01-20",4.05,130,"drama","Paul Thomas Anderson","Daniel Day-Lewis","Paul Thomas Anderson","Dylan Tichenor","Paul Thomas Anderson","Jonny Greenwood","Paul Thomas Anderson","Ghoulardi Film Company","USA","English"
"Seven Samurai",1954,5,"blu-ray","2018-01-27",4.52,207,"action","Akira Kurosawa","Toshiro Mifune","Akira Kurosawa","Akira Kurosawa","Asakazu Nakai","Fumio Hayasaka","Sojiro Motoki","Toho Co.","Japan","Japanese"
"Call Me by Your Name",2017,4,"theatre","2018-02-01",3.99,132,"drama","Luca Guadagnino","Timothée Chalamet","James Ivory","Walter Fasano","Sayombhu Mukdeeprom","Sufjan Stevens","James Ivory","La Cinéfacture","France","English"
"I, Tonya",2017,3.5,"theatre","2018-02-03",3.85,120,"drama","Craig Gillespie","Margot Robbie","Steven Rogers","Tatiana S. Riegel","Nicolas Karakatsanis","Peter Nashel","Zanne Devine","LuckyChap Entertainment","USA","English"
"A Clockwork Orange",1971,5,"blu-ray","2018-02-08",4.15,137,"science-fiction","Stanley Kubrick","Malcolm McDowell","Stanley Kubrick","Bill Butler","John Alcott","Wendy Carlos","Stanley Kubrick","Warner Bros. Pictures","UK","English"
"Black Panther",2018,3.5,"theatre","2018-02-15",3.72,134,"action","Ryan Coogler","Chadwick Boseman","Ryan Coogler","Claudia Castello","Rachel Morrison","Ludwig Göransson","Stan Lee","Marvel Studios","USA","English"
"The World's End",2013,4,"blu-ray","2018-02-19",3.56,109,"comedy","Edgar Wright","Simon Pegg","Edgar Wright","Paul Machliss","Bill Pope","Steven Price","Tim Bevan","Focus Features","UK","English"
"Annihilation",2018,3,"theatre","2018-02-22",3.59,115,"science-fiction","Alex Garland","Natalie Portman","Alex Garland","Barney Pilling","Rob Hardy","Geoff Barrow","Andrew Macdonald","DNA Films","UK","English"
"Mr. Nobody",2009,4.5,"streaming","2018-02-23",3.7,141,"science-fiction","Jaco Van Dormael","Jared Leto","Jaco Van Dormael","Susan Shipton","Christophe Beaucarne","Pierre van Dormael","Philippe Godeau","Pan Européenne Production","Belgium","English"
"Coco",2017,3,"blu-ray","2018-02-28",4.18,105,"fantasy","Lee Unkrich","Anthony Gonzalez","Lee Unkrich","Lee Unkrich","Matt Aspbury","Michael Giacchino","John Lasseter","Pixar","Mexico","English"
"Red Sparrow",2018,2.5,"theatre","2018-03-01",2.93,140,"mystery","Francis Lawrence","Jennifer Lawrence","Justin Haythe","Alan Edward Bell","Jo Willems","James Newton Howard","Steven Zaillian","Soundtrack New York","USA","English"
"Full Metal Jacket",1987,4,"streaming","2018-03-04",4.12,117,"drama","Stanley Kubrick","Matthew Modine","Stanley Kubrick","Martin Hunter","Douglas Milsome","Vivian Kubrick","Stanley Kubrick","Natant","UK","English"
"Game Night",2018,3,"theatre","2018-03-09",3.49,100,"crime","John Francis Daley","Jason Bateman","Mark Perez","Gregory Plotkin","Barry Peterson","Cliff Martinez","John Davis","New Line Cinema","USA","English"
"John Mulaney: The Comeback Kid",2015,NA,"","2018-03-10",4.24,62,"comedy","Rhys Thomas","John Mulaney","John Mulaney","Kelly Lyon","Craig Kief","Jon Brion","Dave Becky","3 Arts Entertainment","USA","English"
"A Ghost Story",2017,4.5,"blu-ray","2018-03-10",3.75,93,"drama","David Lowery","Casey Affleck","David Lowery","David Lowery","Andrew Droz Palermo","Daniel Hart","Adam Donaghey","Sailor Bear","USA","English"
"Thoroughbreds",2017,3,"theatre","2018-03-11",3.56,92,"drama","Cory Finley","Anya Taylor-Joy","Cory Finley","Louise Ford","Lyle Vincent","Erik Friedlander","Declan Baldwin","June Pictures","USA","English"
"Frances Ha",2012,4,"streaming","2018-03-17",3.95,86,"comedy","Noah Baumbach","Greta Gerwig","Noah Baumbach","Jennifer Lame","Sam Levy",NA,"Scott Rudin","Scott Rudin Productions","Brazil","English"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,5,"blu-ray","2018-03-24",4.24,95,"drama","Stanley Kubrick","Peter Sellers","Stanley Kubrick","Anthony Harvey","Gilbert Taylor","Laurie Johnson","Stanley Kubrick","Hawk Films","UK","English"
"The Place Beyond the Pines",2012,4,"streaming","2018-03-26",3.73,140,"drama","Derek Cianfrance","Ryan Gosling","Ben Coccio","Jim Helton","Sean Bobbitt","Mike Patton","Sidney Kimmel","Focus Features","USA","English"
"Ready Player One",2018,2.5,"theatre","2018-03-28",3.2,140,"action","Steven Spielberg","Tye Sheridan","Zak Penn","Michael Kahn","Janusz Kaminski","Alan Silvestri","Steven Spielberg","Amblin Entertainment","USA","English"
"A Quiet Place",2018,3,"theatre","2018-04-05",3.71,91,"science-fiction","John Krasinski","Emily Blunt","John Krasinski","Christopher Tellefsen","Charlotte Bruus Christensen","Marco Beltrami","Michael Bay","Paramount","USA","English"
"The Death of Stalin",2017,3.5,"theatre","2018-04-12",3.69,107,"history","Armando Iannucci","Steve Buscemi","David Schneider","Peter Lambert","Zac Nicholson","Christopher Willis","Kevin Loader","Title Media","Belgium","English"
"Fantastic Mr. Fox",2009,4.5,"streaming","2018-04-13",4.18,87,"comedy","Wes Anderson","George Clooney","Roald Dahl","Stephen Perkins","Tristan Oliver","Alexandre Desplat","Arnon Milchan","Regency Enterprises","USA","English"
"Isle of Dogs",2018,3.5,"theatre","2018-04-13",3.9,101,"adventure","Wes Anderson","Bryan Cranston","Wes Anderson","Ralph Foster","Tristan Oliver","Alexandre Desplat","Scott Rudin","Studio Babelsberg","Germany","English"
"Isle of Dogs",2018,3.5,"theatre","2018-04-21",3.9,101,"adventure","Wes Anderson","Bryan Cranston","Wes Anderson","Ralph Foster","Tristan Oliver","Alexandre Desplat","Scott Rudin","Studio Babelsberg","Germany","English"
"Avengers: Infinity War",2018,3.5,"theatre","2018-04-26",3.95,149,"adventure","Anthony Russo","Robert Downey Jr.","Christopher Markus","Jeffrey Ford","Trent Opaloch","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"Se7en",1995,4.5,"streaming","2018-04-29",4.26,127,"thriller","David Fincher","Morgan Freeman","Andrew Kevin Walker","Richard Francis-Bruce","Darius Khondji","Howard Shore","Lynn Harris","New Line Cinema","USA","English"
"Tully",2018,3.5,"theatre","2018-05-03",3.58,96,"drama","Jason Reitman","Charlize Theron","Diablo Cody","Stefan Grube","Eric Steelberg","Rob Simonsen","Charlize Theron","Focus Features","Canada","English"
"Avengers: Infinity War",2018,3.5,"theatre","2018-05-04",3.95,149,"adventure","Anthony Russo","Robert Downey Jr.","Christopher Markus","Jeffrey Ford","Trent Opaloch","Alan Silvestri","Stan Lee","Marvel Studios","USA","English"
"The Killing of a Sacred Deer",2017,3.5,"streaming","2018-05-06",3.75,121,"mystery","Yorgos Lanthimos","Colin Farrell","Yorgos Lanthimos","Yorgos Mavropsaridis","Thimios Bakatakis","Sofiya Gubaydulina","Andrew Lowe","Element Pictures","UK","English"
"Fruitvale Station",2013,4,"streaming","2018-05-09",3.86,82,"drama","Ryan Coogler","Michael B. Jordan","Ryan Coogler","Claudia Castello","Rachel Morrison","Ludwig Göransson","Forest Whitaker","Significant Productions","USA","English"
